Search City,Job Title,Company,Location,Job Description,Required Skills,Posted Date,Job URL
Delhi,Supervisor (EV Fleet Operations),Indus Motors Green,New Delhi,Identify system and/or operational issues hindering the attainment of quality perform...,Payroll | ERP | Operations Manager | MIS | Process improvement | Data Analyst | Data mining | Business intelligence,3+ weeks ago,https://www.naukri.com/job-listings-supervisor-ev-fleet-operations-indus-motors-green-new-delhi-2-to-7-years-200226500015
Delhi,Operation Staff NHH,DHL Supply Chain,Gurugram,Qualification: Minimum 10th pass preferably Graduate . Knowledge . Should know local ge...,Basic | Operation Staff | Operations,3+ weeks ago,https://www.naukri.com/job-listings-operation-staff-nhh-dhl-global-forwarding-india-gurugram-0-to-10-years-060426502147
Delhi,Transport Executive,Vinayak Enterprises,New Delhi,"Employment Type . Full Time, PermanentQualification: Any GraduateMinimum GraduateCandid...",Truck Booking | Heavy truck placement | Freight Cooridnation | Vehicle Placement | Local Transport Network | FTL Coordination | Route Corodination | Transport Coordination,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-vinayak-enterprises-new-delhi-2-to-3-years-250526005782
Delhi,Transport Executive,Ferns N Petals,New Delhi(Chattarpur),Required SkillsPreferred Industries-,Fleet Management | Transportation | Route Planning | Management | Fleet | Planning | Route3,1 week ago,https://www.naukri.com/job-listings-transport-executive-ferns-n-petals-new-delhi-5-to-10-years-180626016188
Delhi,Service Advisor,Ring Road Hond,Gurugram,Accurately document customer complaints and required services High school diploma or eq...,ERP | vehicle maintenance | Interpersonal skills | PDF | Time management | Service Advisor | HTML | Customer service,3+ weeks ago,https://www.naukri.com/job-listings-service-advisor-ring-road-honda-gurugram-3-to-7-years-260825500049
Delhi,Fleet Officer / Incharge - Males Only,Metrro Waste Handling,"New Delhi(Vinod Nagar East), Delhi / NCR(Shahdara)","Supervise logistics operations Collection, Transportation & disposal. Manage fleets, op...",Logistics Operations | Route Planning | Vehicle Management | Fleet Management | Vehicle Tracking | Transportation | collection and transportation | Transport Operations,1 week ago,https://www.naukri.com/job-listings-fleet-officer-incharge-males-only-metrro-waste-handling-new-delhi-delhi-ncr-5-to-10-years-060325008505
Delhi,Operations Manager,Stratsmith,New Delhi(Hauz Khas),3+ years of experience in Operations (Back-office / Support Team) 3+ years of experienc...,Team Handling | Operations | Escalation Management | Last Mile Delivery | Urban Transport | Operations Team Handling | Logistics Operations | Route Planning,2 weeks ago,https://www.naukri.com/job-listings-operations-manager-stratsmith-delhi-new-delhi-2-to-7-years-090626011515
Delhi,Process Associate - Insurance - Noida,Genpact,"New Delhi, Noida, Gurugram","Ready to shape the future of work?At Genpact, we dont just adapt to change we drive it....",insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Processing | Process,1 week ago,https://www.naukri.com/job-listings-process-associate-insurance-noida-genpact-noida-new-delhi-gurugram-0-to-3-years-080626008486
Delhi,Operations Assistant Manager - International,TP,Gurugram,Experience working in an international setting is preferred. Proven experience in opera...,operations | operations management | communication | customer experience | process improvements | International | Process | Communication skills,2 weeks ago,https://www.naukri.com/job-listings-operations-assistant-manager-international-teleperformance-global-business-private-limited-gurugram-3-to-8-years-100626928510
Delhi,Operations Staff- EDW,DHL Supply Chain,New Delhi,"We are looking for a skilled Operations Staff to join our team in the EDW department, w...",visualforce | project management | software | quality control | customer service | logistics | triggers | process improvements,6 days ago,https://www.naukri.com/job-listings-operations-staff-edw-dhl-global-forwarding-india-new-delhi-2-to-7-years-190626502543
Delhi,Process Associate - Insurance - Noida,Genpact,"New Delhi, Noida, Gurugram",The positions operate in a dynamic environment and are well suited to those with strong...,insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Process | Processing,2 weeks ago,https://www.naukri.com/job-listings-process-associate-insurance-noida-genpact-noida-new-delhi-gurugram-0-to-3-years-080626008185
Delhi,Administrative & Operations Staff,Mechanical Engineering Ventures,New Delhi,"Excellent communication, interpersonal, and problem-solving skills. . Ability to work i...",application software | data analysis | administration | customer service | process improvements | regulatory requirements | ich | operations,1 week ago,https://www.naukri.com/job-listings-administrative-operations-staff-mechanical-engineering-ventures-new-delhi-2-to-6-years-170626501067
Delhi,Factory Supervisor,Shakti Packing (india),New Delhi(DSIIDC Industrial Area Bawana),Responsibilities:Manage production schedule & resourcesEnsure quality control standards...,Factory Administration | Administration | Factory,1 day ago,https://www.naukri.com/job-listings-factory-supervisor-shakti-packing-india-new-delhi-5-to-10-years-230626943479
Delhi,WAREHOUSE EXECUTIVE (Receipts & Dispatch),Delhivery,New Delhi,Disclaimer: This job description has been sourced from a public domain and may have bee...,WAREHOUSE EXECUTIVE (Receipts & Dispatch) | Warehouse | Dispatch | Receipt,3+ weeks ago,https://www.naukri.com/job-listings-warehouse-executive-receipts-dispatch-delhivery-limited-new-delhi-2-to-5-years-240326505532
Delhi,Supply Chain Executive,Delhivery,New Delhi,"Bachelors degree in any discipline, preferably in supply chain management or logistics....",cost reduction | supply chain | negotiation | logistics | operationsvendor | supply | communication skills | Cost,3+ weeks ago,https://www.naukri.com/job-listings-supply-chain-executive-delhivery-limited-new-delhi-1-to-4-years-240326506537
Delhi,Executive - Warehouse Operations - Contract Logistics,DP World,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",Need to plan required manpower in line with volume fluctuations. 150 plus staff needs t...,Outbound | Operations management | Warehouse | contract logistics | Warehouse Executive | Compliance | Warehouse operations | Inventory,3+ weeks ago,https://www.naukri.com/job-listings-executive-warehouse-operations-contract-logistics-dp-world-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-080825502552
Delhi,Dispatch Executive,Euride India,"Delhi / NCR, Noida(Sector 49)",About the Role: EuRide India is looking for an energetic and detail-oriented Dispatcher...,MS Excel | Dispatch | Supply Chain Management | Delivery | Tracking | Dispatch Planning | Dispatch Scheduling | Material Receipt,1 day ago,https://www.naukri.com/job-listings-dispatch-executive-euride-india-noida-delhi-ncr-1-to-3-years-240626930722
Delhi,Dispatch Executive,Euride Gmbh,Gurugram(Sector 49),Willingness to work in Rotational shifts Job Title - Dispatch Executive (2 years experi...,Backend Operations | Logistics Operations | Logistics | Outbound Logistics | Vehicle Tracking | Dispatch | Route Planning | Route3,3 weeks ago,https://www.naukri.com/job-listings-dispatch-executive-euride-gmbh-gurugram-1-to-3-years-050526016876
Delhi,Dispatch Executive,Career Solutions,New Delhi(Narela),"Dispatch Executive Required at Narela Sindhu Border, Delhi. Qualification - any Exp- mi...",Dispatch | E Way Bill | Supply Chain Management | Dispatch Planning | Logistics | GRN | SAP | Inward,3 weeks ago,https://www.naukri.com/job-listings-dispatch-executive-career-solutions-new-delhi-1-to-6-years-280526026230
Delhi,"Store, Inventory & Dispatch Executive",Technomech Engineers,Faridabad,"Responsibilities:* Manage store inventory, dispatch, receive materials via GRN process....",GRN | Store Keeping | Materials | Dispatch | Stock | Receipt | Inward | Stores,1 day ago,https://www.naukri.com/job-listings-store-inventory-dispatch-executive-technomech-engineers-faridabad-0-to-6-years-240626932448
Delhi,Dispatch Executive,Trident Logistics,Remote,"Roles and ResponsibilitiesManage dispatch planning, ensuring timely delivery of product...",Spoken English | English | Dispatch | Supply Chain Management | English Language | Logistics | Dispatch Planning | Supply,1 week ago,https://www.naukri.com/job-listings-dispatch-executive-trident-logistics-new-delhi-1-to-4-years-160626027744
Delhi,Store and Dispatch Executive,Mahabir Plastic,Faridabad,mahabir plastic industries is looking for Store and Dispatch Executive to join our dyna...,Store Executive | Dispatch Executive | Stores | Dispatch,3+ weeks ago,https://www.naukri.com/job-listings-store-and-dispatch-executive-mahabir-plastic-industries-faridabad-0-to-3-years-280624501248
Delhi,Dispatch Executive,Aos Products,Ghaziabad,. Disclaimer: This job description has been sourced from a public domain and may have b...,dispatch | production | logistics | delivery operations | transportation | Delivery | Operations,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-aos-products-pvt-ltd-ghaziabad-4-to-6-years-211125500143
